TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,"""+/-"""
CLE,CLE @ WAS,04/25/2021,L,240,110,40,78,51.3,10,27,37,20,25,80,10,27,37,28,5,4,19,25,-9
UTA,UTA vs. MIN,04/24/2021,L,240,96,33,82,40.2,19,47,40.4,11,15,73.3,9,36,45,24,9,5,20,21,-5
MIA,MIA vs. CHI,04/24/2021,W,240,106,36,80,45,14,37,37.8,20,24,83.3,6,31,37,22,11,2,13,12,5
MIN,MIN @ UTA,04/24/2021,W,240,101,40,92,43.5,9,38,23.7,12,20,60,11,36,47,15,13,2,14,19,5
CHI,CHI @ MIA,04/24/2021,L,240,101,38,79,48.1,13,38,34.2,12,13,92.3,6,36,42,28,7,2,18,20,-5
IND,IND vs. DET,04/24/2021,W,240,115,40,96,41.7,10,32,31.3,25,35,71.4,9,30,39,28,10,9,5,21,6
LAL,LAL @ DAL,04/24/2021,L,240,93,33,86,38.4,12,45,26.7,15,19,78.9,6,30,36,22,11,4,9,22,-15
DAL,DAL vs. LAL,04/24/2021,W,240,108,38,78,48.7,13,30,43.3,19,25,76,10,41,51,26,3,2,18,17,15
NYK,NYK vs. TOR,04/24/2021,W,240,120,42,75,56,16,31,51.6,20,24,83.3,5,39,44,20,4,4,15,17,17
TOR,TOR @ NYK,04/24/2021,L,240,103,36,83,43.4,17,44,38.6,14,19,73.7,5,28,33,31,6,3,7,19,-17
NOP,NOP vs. SAS,04/24/2021,L,240,108,41,87,47.1,9,22,40.9,17,32,53.1,10,38,48,20,12,1,20,24,-2
SAS,SAS @ NOP,04/24/2021,W,240,110,37,85,43.5,9,31,29,27,32,84.4,9,37,46,22,9,8,17,23,2
DET,DET @ IND,04/24/2021,L,240,109,39,96,40.6,10,34,29.4,21,26,80.8,15,47,62,26,3,7,18,25,-6
PHI,PHI @ MIL,04/24/2021,L,240,94,31,82,37.8,7,31,22.6,25,34,73.5,10,31,41,15,11,4,17,20,-38
